External_Id__c,Status,Parent_Type__c,Type,Description,City__c,Department__c,Division__c,CreatedDate,ClosedDate,Subject,Actual_Parent_Type__c,Actual_Type__c
641084,In Progress,,,REQUEST REMOVAL OF JUNK AND DEBRIS FROM THE ON PAULSON ST BETWEEN JEFFERSON AVE AND FAIRFIELD AVE,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-08-04T07:29:00Z,,REQUEST REMOVAL OF JUNK AND DEBRIS FROM THE ON PAULSON ST BETWEEN JEFFERSON AVE AND FAIRFIELD AVE,GARBAGE,REQUEST DEBRIS REMOVAL - PUBLIC PROPERTY
641373,In Progress,,,(96 GAL) LID BROKE OFF,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,2020-08-04T14:02:00Z,,(96 GAL) LID BROKE OFF,GARBAGE,DAMAGED GARBAGE CART
641394,In Progress,,,"CALLER 96 GAL CART THE LID IS MISSING .., GAVE ID#",BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,2020-08-04T14:31:00Z,,"CALLER 96 GAL CART THE LID IS MISSING .., GAVE ID#",GARBAGE,DAMAGED GARBAGE CART
625034,In Progress,,,CONCRETE POTHOLES IN MIDDLE OF INTERSECTION AT CENTRAL THRUWAY AND SULLIVAN RD.  REPORTED EARLIER THIS WEEK. GOT A REPLY BACK THAT WORK ORDER WAS CLOSED. NO WORK WAS DONE.,CENTRAL,MAINTENANCE,STREET MAINTENANCE,2020-06-19T16:02:00Z,,CONCRETE POTHOLES IN MIDDLE OF INTERSECTION AT CENTRAL THRUWAY AND SULLIVAN RD.  REPORTED EARLIER THIS WEEK. GOT A REPLY BACK THAT WORK ORDER WAS CLOSED. NO WORK WAS DONE.,ROAD MAINTENANCE ISSUES,POTHOLE
625453,In Progress,,,GRASS NEED TO BE CUT VACANT AREA BEHIND THE ADDRESS ABOVE GAVE SERVICE #,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-22T12:48:00Z,,GRASS NEED TO BE CUT VACANT AREA BEHIND THE ADDRESS ABOVE GAVE SERVICE #,BLIGHTED PROPERTIES,TALL GRASS
625443,In Progress,,,TALL GRASS AT VACANT PROPERTY HOME NEEDS TO BE BOARDED UP OLD SNO BALL STAND IN FRONT OF PROPERTY,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-22T12:31:00Z,,TALL GRASS AT VACANT PROPERTY HOME NEEDS TO BE BOARDED UP OLD SNO BALL STAND IN FRONT OF PROPERTY,BLIGHTED PROPERTIES,TALL GRASS
641144,In Progress,,,"CALLER IS REQUESTING THAT THE CULVERT SITTING UNDER HIS DRIVEWAY BE FIX IT IS CRACKED ON THE RIGHT SIDE..., GAVE ID#",BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-08-04T09:08:00Z,,"CALLER IS REQUESTING THAT THE CULVERT SITTING UNDER HIS DRIVEWAY BE FIX IT IS CRACKED ON THE RIGHT SIDE..., GAVE ID#","DRAINAGE, EROSION, FLOODING OR HOLES",ROADSIDE DRAINAGE ISSUE
641426,In Progress,,,"CALLER IS REQUESTING THAT THE GRASS AND WEEDS BE CUT AT THE ABOVE LOCATION YOU CAN NTO SEE GOING OUT INTO THE ROAD...., GAVE ID#",EAST BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-08-04T15:11:00Z,,"CALLER IS REQUESTING THAT THE GRASS AND WEEDS BE CUT AT THE ABOVE LOCATION YOU CAN NTO SEE GOING OUT INTO THE ROAD...., GAVE ID#",MOWING AND TREE ISSUES,REQUEST FOR MOWING
641263,In Progress,,,"CALLER IS REQUESTING THAT THE DITCHES BE CUT IN THE (NORTH RED OAK SUB.) ......, GAVE ID#",BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-08-04T11:40:00Z,,"CALLER IS REQUESTING THAT THE DITCHES BE CUT IN THE (NORTH RED OAK SUB.) ......, GAVE ID#",MOWING AND TREE ISSUES,REQUEST FOR MOWING
625421,In Progress,,,"CXALLER IS REQUESTING THAT THE CULVERT BE CLEANED OUT SITTING IN FERONT OF HER HOME..., GAVE ID#",BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-06-22T12:02:00Z,,"CXALLER IS REQUESTING THAT THE CULVERT BE CLEANED OUT SITTING IN FERONT OF HER HOME..., GAVE ID#","DRAINAGE, EROSION, FLOODING OR HOLES",ROADSIDE DRAINAGE ISSUE
641507,In Progress,,,"RESIDENT REQUESTED A CART BACK IN MAY, BUT ADDRESS WAS INCORRECTLY ENTERED INTO SYSTEM. PLEASE DELIVER.",BATON ROUGE,ENVIRONMENTAL SERVICES,RECYCLING,2020-08-04T17:46:00Z,,"RESIDENT REQUESTED A CART BACK IN MAY, BUT ADDRESS WAS INCORRECTLY ENTERED INTO SYSTEM. PLEASE DELIVER.",RECYCLING,NEW RESIDENT RECYCLING CART REQUEST
641464,In Progress,,,"CALLER 96 GAL CART THE HINGES ARE BROKEN ..., GAVE ID#",BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,2020-08-04T16:02:00Z,,"CALLER 96 GAL CART THE HINGES ARE BROKEN ..., GAVE ID#",GARBAGE,DAMAGED GARBAGE CART
625353,In Progress,,,TRASH AND DEBRIS PILED IN FRONT OF ABANDONED PROPERTY,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-06-22T10:44:00Z,,TRASH AND DEBRIS PILED IN FRONT OF ABANDONED PROPERTY,GARBAGE,REQUEST DEBRIS REMOVAL - PUBLIC PROPERTY
641246,In Progress,,,"CALLER REQUESTING A NEW RECYCLKING CART,..., GAVE ID#",BATON ROUGE,ENVIRONMENTAL SERVICES,RECYCLING,2020-08-04T11:21:00Z,,"CALLER REQUESTING A NEW RECYCLKING CART,..., GAVE ID#",RECYCLING,NEW RESIDENT RECYCLING CART REQUEST
624721,In Progress,,,CONSTITUENTS COMPLAINING OF LARGE DEBRIS LEFT OUTSIDE OF DUMPSTER IN FRONT OF THE APARTMENTS.,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-19T08:04:00Z,,CONSTITUENTS COMPLAINING OF LARGE DEBRIS LEFT OUTSIDE OF DUMPSTER IN FRONT OF THE APARTMENTS.,BLIGHTED PROPERTIES,"JUNK, TRASH, OR DEBRIS ON PRIVATE PROPERTY"
624869,In Progress,,,DRAINAGE DITCH BEHIND HOME IS OVERGROWN NEED TO BE CUT,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-06-19T11:31:00Z,,DRAINAGE DITCH BEHIND HOME IS OVERGROWN NEED TO BE CUT,MOWING AND TREE ISSUES,REQUEST FOR MOWING
625450,In Progress,,,V/LOT MOWING ON THE LEFT OF 10020 AVE F BETWEEN 10020 AND 10010 AVE F,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-22T12:44:00Z,,V/LOT MOWING ON THE LEFT OF 10020 AVE F BETWEEN 10020 AND 10010 AVE F,BLIGHTED PROPERTIES,TALL GRASS
641148,In Progress,,,FURNITURE WOOD AND OTHER TRASH NEED TO BE PICKED UP IN FRONT VACANT LOT PASS 737 N 47TH ST  AT DEAD END GAVE SERVICE #,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-08-04T09:12:00Z,,FURNITURE WOOD AND OTHER TRASH NEED TO BE PICKED UP IN FRONT VACANT LOT PASS 737 N 47TH ST  AT DEAD END GAVE SERVICE #,GARBAGE,REQUEST DEBRIS REMOVAL - PUBLIC PROPERTY
601083,In Progress,,,HOLE DEVELOPING NEAR THE SIDEWALK IN FRONT OF 7707 BISMARK. PLEASE INSPECT.   AFTER JOB IS COMPLETE PLEASE CHANGE TYPE TO  BARRICADE PICK UP ........SO SOMEONE FROM OUR DIVISION CAN PROPERLY PICK UP.,BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-03-24T15:27:00Z,,HOLE DEVELOPING NEAR THE SIDEWALK IN FRONT OF 7707 BISMARK. PLEASE INSPECT.   AFTER JOB IS COMPLETE PLEASE CHANGE TYPE TO  BARRICADE PICK UP ........SO SOMEONE FROM OUR DIVISION CAN PROPERLY PICK UP.,"DRAINAGE, EROSION, FLOODING OR HOLES",CAVE-IN/SINK HOLE (DRAINAGE RELATED)
601109,In Progress,,,THERE IS A TREE THAT FELL BEHIND THE 19400 BLOCK OF HOO SHOO TOO ROAD (BEHIND MANCHAC RESERVE SUBDIVISION) AND IT IS BLOCKING THE ENTIRE BAYOU MANCHAC WATERWAY.  PLEASE REMOVE.,EAST BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-03-24T16:54:00Z,,THERE IS A TREE THAT FELL BEHIND THE 19400 BLOCK OF HOO SHOO TOO ROAD (BEHIND MANCHAC RESERVE SUBDIVISION) AND IT IS BLOCKING THE ENTIRE BAYOU MANCHAC WATERWAY.  PLEASE REMOVE.,"DRAINAGE, EROSION, FLOODING OR HOLES",REQUEST REMOVAL OF DEBRIS IN A DITCH/WATERWAY
641300,In Progress,,,VACANT LOT TO THE RIGHT OF 9816 EL SCOTT IS OVERGROWN,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-08-04T12:28:00Z,,VACANT LOT TO THE RIGHT OF 9816 EL SCOTT IS OVERGROWN,BLIGHTED PROPERTIES,TALL GRASS
624854,In Progress,,,"CALLER STATED THAT THE DRAINS AT (5071 BYRON STREET, 5095 BYRON STREET, AND 5107 BYRON STREET) NEEDS TO BE CLEANED OUT.  GAVE CALLER ID NUMBER.",BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-06-19T11:10:00Z,,"CALLER STATED THAT THE DRAINS AT (5071 BYRON STREET, 5095 BYRON STREET, AND 5107 BYRON STREET) NEEDS TO BE CLEANED OUT.  GAVE CALLER ID NUMBER.","DRAINAGE, EROSION, FLOODING OR HOLES",ROADSIDE DRAINAGE ISSUE
601137,In Progress,,,"PLACING A FREE-STANDING SIGN ON A SIDEWALK, ROAD RIGHT/OF/WAY, AND BLOCKING LINE/OF/SIGHT",BATON ROUGE,DEVELOPMENT,PERMITS & INSPECTIONS,2020-03-25T07:55:00Z,,"PLACING A FREE-STANDING SIGN ON A SIDEWALK, ROAD RIGHT/OF/WAY, AND BLOCKING LINE/OF/SIGHT",BUILDING CODE/ZONING VIOLATIONS,BUILDING CODE VIOLATIONS
601256,In Progress,,,THE WEEDS IN THE DITCH ALONG GURNEY ROAD ARE KNEE HIGH AND NEED TO BE MOWED.  PLEASE MOW THESE WEEKS,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-03-25T13:07:00Z,,THE WEEDS IN THE DITCH ALONG GURNEY ROAD ARE KNEE HIGH AND NEED TO BE MOWED.  PLEASE MOW THESE WEEKS,MOWING AND TREE ISSUES,REQUEST FOR MOWING
601273,In Progress,,,VACANT LOT NEAR THE CORNER OF MARY EVERS AND MARY RUTH IS OVERGROWN,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-03-25T13:42:00Z,,VACANT LOT NEAR THE CORNER OF MARY EVERS AND MARY RUTH IS OVERGROWN,BLIGHTED PROPERTIES,TALL GRASS
601197,In Progress,,,"CALLER IS REQUESTING THAT THE R O W BE CUT ..., GAVE ID#",BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-03-25T10:37:00Z,,"CALLER IS REQUESTING THAT THE R O W BE CUT ..., GAVE ID#",MOWING AND TREE ISSUES,REQUEST FOR MOWING
601344,In Progress,,,THE FENCE SURROUNDING THE DITCH ON N VENTURA DRIVE  AND WTAMS DRIVE IN THE VILLA DEL REY SUBDIVISION NEEDS TO BE PUT PICKED UP.,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-03-25T22:53:00Z,,THE FENCE SURROUNDING THE DITCH ON N VENTURA DRIVE  AND WTAMS DRIVE IN THE VILLA DEL REY SUBDIVISION NEEDS TO BE PUT PICKED UP.,NEIGHBORHOOD/SUBDIVISION ISSUES,FENCE LINE/SERVITUDE ISSUES
601143,In Progress,,,CALLER STATED THAT THE VACANT LOT (990 BAYBERRY AVENUE) BACKYARD NEEDS TO BE CUT.  GAVE CALLER ID NUMBER.,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-03-25T08:22:00Z,,CALLER STATED THAT THE VACANT LOT (990 BAYBERRY AVENUE) BACKYARD NEEDS TO BE CUT.  GAVE CALLER ID NUMBER.,BLIGHTED PROPERTIES,TALL GRASS
601276,In Progress,,,2 BARRICADES NEEDED FOR SINKHOLES WERE NEVER REPAIRED. THEY ARE STILL GROWNING AND THE BARRICADES WERE REMOVED. PLEASE INSPECT.  PLEASE REFER TO NOTES ON SR#376749 THAT WAS CLOSED.,BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-03-25T13:52:00Z,,2 BARRICADES NEEDED FOR SINKHOLES WERE NEVER REPAIRED. THEY ARE STILL GROWNING AND THE BARRICADES WERE REMOVED. PLEASE INSPECT.  PLEASE REFER TO NOTES ON SR#376749 THAT WAS CLOSED.,"DRAINAGE, EROSION, FLOODING OR HOLES",CAVE-IN/SINK HOLE (DRAINAGE RELATED)
601272,In Progress,,,TRASH IN FRONT OF THE VACANT LOT NEAR THE CORNER OF MARY EVERS AND MARY RUTH,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-03-25T13:41:00Z,,TRASH IN FRONT OF THE VACANT LOT NEAR THE CORNER OF MARY EVERS AND MARY RUTH,GARBAGE,REQUEST DEBRIS REMOVAL - PUBLIC PROPERTY
601291,In Progress,,,"CALLER IS REQUESTING THAT THE PILE OF JUNK AND TRASH BE REMOVED FROM IN FRONT OF THE TO V/L NEXT DOOR  3742 GERONIMO ST..., GAVE ID#",BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-03-25T14:46:00Z,,"CALLER IS REQUESTING THAT THE PILE OF JUNK AND TRASH BE REMOVED FROM IN FRONT OF THE TO V/L NEXT DOOR  3742 GERONIMO ST..., GAVE ID#",GARBAGE,REQUEST DEBRIS REMOVAL - PUBLIC PROPERTY
601199,In Progress,,,NEEDS A CCTV PER ROTO ROOTER PLUMBER RECEIPT ADDED,BATON ROUGE,ENVIRONMENTAL SERVICES,WW OPERATIONS,2020-03-25T10:40:00Z,,NEEDS A CCTV PER ROTO ROOTER PLUMBER RECEIPT ADDED,SEWER/WASTEWATER,CAVE-IN/SINK HOLE (SEWER OR DRAINAGE RELATED)
624928,In Progress,,,CALLER STATED THAT THE VACANT HOUSE (7786 S. MARIBEL COURT) NEEDS TO BE TORN DOWN.  GAVE CALLER ID NUMBER.,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-19T13:28:00Z,,CALLER STATED THAT THE VACANT HOUSE (7786 S. MARIBEL COURT) NEEDS TO BE TORN DOWN.  GAVE CALLER ID NUMBER.,BLIGHTED PROPERTIES,PROPERTY NEEDS TO BE CONDEMNED OR TORN DOWN
625241,In Progress,,,THE ADDRESS IS 6329 WHERE GRASS NEEDS TO BE CUT,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-21T13:03:00Z,,THE ADDRESS IS 6329 WHERE GRASS NEEDS TO BE CUT,BLIGHTED PROPERTIES,TALL GRASS
601207,In Progress,,,GRASS IS OVERGROWN ON THE VACANT LOT ACROSS FROM 5021 HAMMOND ST,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-03-25T11:12:00Z,,GRASS IS OVERGROWN ON THE VACANT LOT ACROSS FROM 5021 HAMMOND ST,BLIGHTED PROPERTIES,TALL GRASS
624823,In Progress,,,OCCUPIED PROPERTY JUNK AND DEBRIS ON THE PROPERTY NEED TO BE REMOVED,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-19T10:23:00Z,,OCCUPIED PROPERTY JUNK AND DEBRIS ON THE PROPERTY NEED TO BE REMOVED,BLIGHTED PROPERTIES,"JUNK, TRASH, OR DEBRIS ON PRIVATE PROPERTY"
624580,In Progress,,,DURING HURRICANE GUSTAV THE SIDEWALK WAS DAMAGED BY DEBRIS.,BATON ROUGE,MAINTENANCE,STREET MAINTENANCE,2020-06-18T14:47:00Z,,DURING HURRICANE GUSTAV THE SIDEWALK WAS DAMAGED BY DEBRIS.,ROAD MAINTENANCE ISSUES,SIDEWALK ISSUE
625359,In Progress,,,VACANT HOME HAS JUNK AND DEBRIS ON CURB NEED TO BE REMOVED,ZACHARY,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-06-22T10:58:00Z,,VACANT HOME HAS JUNK AND DEBRIS ON CURB NEED TO BE REMOVED,GARBAGE,REQUEST DEBRIS REMOVAL - PUBLIC PROPERTY
625378,In Progress,,,THE MANHOLE COVER ON THE CORNER OF STARING AND BURBANK IS NOT FULLY CLOSED. IT LOOKED LIKE THERE WAS SOME TRASH LODGED IN THERE PREVENTING IT FROM CLOSING,BATON ROUGE,ENVIRONMENTAL SERVICES,WW OPERATIONS,2020-06-22T11:14:00Z,,THE MANHOLE COVER ON THE CORNER OF STARING AND BURBANK IS NOT FULLY CLOSED. IT LOOKED LIKE THERE WAS SOME TRASH LODGED IN THERE PREVENTING IT FROM CLOSING,SEWER/WASTEWATER,MANHOLE ISSUE
624557,In Progress,,,BEHIND THE HOME ON THE OTHER SIDE OF THE FENCE THAT FACE MILLERVILLE RD IS OVERGROWN AND NEEDS TO BE CUT.,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-06-18T13:42:00Z,,BEHIND THE HOME ON THE OTHER SIDE OF THE FENCE THAT FACE MILLERVILLE RD IS OVERGROWN AND NEEDS TO BE CUT.,MOWING AND TREE ISSUES,REQUEST FOR MOWING
624657,In Progress,,,TRASH IN RIGHT OF WAY.,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-06-18T16:39:00Z,,TRASH IN RIGHT OF WAY.,GARBAGE,REQUEST DEBRIS REMOVAL - PUBLIC PROPERTY
624992,In Progress,,,"CALLER IS REQUESTING THAT THE BURNED HOUSE BE TORN DOWN...., GAVE ID#",BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-19T15:03:00Z,,"CALLER IS REQUESTING THAT THE BURNED HOUSE BE TORN DOWN...., GAVE ID#",BLIGHTED PROPERTIES,PROPERTY NEEDS TO BE CONDEMNED OR TORN DOWN
625676,In Progress,,,FENCE WAS JUST REPLACED.  PREVIOUSLY THERE WAS A LOCK INSTALLED FOR EMERGENCY USAGE BUT IT WAS CUT TO REPLACE THE FENCE.  WHO DO WE NEED TO CONTACT TO GET A LOCK PUT BACK UP?,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-22T20:49:00Z,,FENCE WAS JUST REPLACED.  PREVIOUSLY THERE WAS A LOCK INSTALLED FOR EMERGENCY USAGE BUT IT WAS CUT TO REPLACE THE FENCE.  WHO DO WE NEED TO CONTACT TO GET A LOCK PUT BACK UP?,NEIGHBORHOOD/SUBDIVISION ISSUES,FENCE LINE/SERVITUDE ISSUES
624716,In Progress,,,"#555 Q. GIBSON WENT OUT ON 6/18/20 @ 12:55 PM FOR DRAINAGE CAVITY IN FRONT.  PLACED 45 FT. FENCE, 1 LIGHT AND 6 STAKES.  AFTER JOB IS COMPLETE PLEASE CHANGE TYPE TO  BARRICADE PICK UP ........SO SOMEONE FROM OUR DIVISION CAN PROPERLY PICK UP.",BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-06-19T07:40:00Z,,"#555 Q. GIBSON WENT OUT ON 6/18/20 @ 12:55 PM FOR DRAINAGE CAVITY IN FRONT.  PLACED 45 FT. FENCE, 1 LIGHT AND 6 STAKES.  AFTER JOB IS COMPLETE PLEASE CHANGE TYPE TO  BARRICADE PICK UP ........SO SOMEONE FROM OUR DIVISION CAN PROPERLY PICK UP.","DRAINAGE, EROSION, FLOODING OR HOLES",CAVE-IN/SINK HOLE (DRAINAGE RELATED)
624397,In Progress,,,"CALLER STATED THAT THERE IS A SINK HOLE NEAR THE DRAIN SITTING IN FRONT OF THE ABOVE ADDRESS..., GAVE ID#  AFTER JOB IS COMPLETE PLEASE CHANGE TYPE TO  BARRICADE PICK UP ........SO SOMEONE FROM OUR DIVISION CAN PROPERLY PICK UP.",BATON ROUGE,ENVIRONMENTAL SERVICES,WW OPERATIONS,2020-06-18T09:56:00Z,,"CALLER STATED THAT THERE IS A SINK HOLE NEAR THE DRAIN SITTING IN FRONT OF THE ABOVE ADDRESS..., GAVE ID#  AFTER JOB IS COMPLETE PLEASE CHANGE TYPE TO  BARRICADE PICK UP ........SO SOMEONE FROM OUR DIVISION CAN PROPERLY PICK UP.",SEWER/WASTEWATER,CAVE-IN/SINK HOLE (SEWER OR DRAINAGE RELATED)
601113,In Progress,,,GRASS/WEEDS IN EXCESS OF 12  IN HEIGHT ON VACANT LOT AT CORNER OF RIVERDALE AND ONEAL LANE,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-03-24T17:15:00Z,,GRASS/WEEDS IN EXCESS OF 12  IN HEIGHT ON VACANT LOT AT CORNER OF RIVERDALE AND ONEAL LANE,BLIGHTED PROPERTIES,TALL GRASS
608441,In Progress,,,CALLER STATED THAT THE VACANT HOUSE (3315 LINDEN STREET) ACROSS THE STREET FROM HER HAVE (HOUSEHOLD DEBRIS) THAT HAVE BEEN OUT THERE FOR TWO WEEKS.  GAVE CALLER ID NUMBER.,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-04-27T07:15:00Z,,CALLER STATED THAT THE VACANT HOUSE (3315 LINDEN STREET) ACROSS THE STREET FROM HER HAVE (HOUSEHOLD DEBRIS) THAT HAVE BEEN OUT THERE FOR TWO WEEKS.  GAVE CALLER ID NUMBER.,GARBAGE,REQUEST DEBRIS REMOVAL - PUBLIC PROPERTY
610295,In Progress,,,CALLER STATED THAT THE DRAIN TO THE LEFT OF HER HOUSE NEEDS TO BE CLEANED OUT.  GAVE CALLER ID NUMBER.,BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-05-01T12:31:00Z,,CALLER STATED THAT THE DRAIN TO THE LEFT OF HER HOUSE NEEDS TO BE CLEANED OUT.  GAVE CALLER ID NUMBER.,"DRAINAGE, EROSION, FLOODING OR HOLES",ROADSIDE DRAINAGE ISSUE
625444,In Progress,,,"CALLER STATES THAT THE MANHOLE HAS SUNK INTO THE GROUND SITTING IN THE STREET ON S CHOCTAW DR. JUST PASS SHERWOOD FOREST BLVD. ABOUT 500 FEET...., GAVE ID#",BATON ROUGE,ENVIRONMENTAL SERVICES,WW OPERATIONS,2020-06-22T12:33:00Z,,"CALLER STATES THAT THE MANHOLE HAS SUNK INTO THE GROUND SITTING IN THE STREET ON S CHOCTAW DR. JUST PASS SHERWOOD FOREST BLVD. ABOUT 500 FEET...., GAVE ID#",SEWER/WASTEWATER,MANHOLE ISSUE
610513,In Progress,,,O/F  M/H LOCATED B/T 4824 AND 4934 WOODLAKE DR. IN THE REAR,BATON ROUGE,ENVIRONMENTAL SERVICES,WW OPERATIONS,2020-05-02T13:09:00Z,,O/F  M/H LOCATED B/T 4824 AND 4934 WOODLAKE DR. IN THE REAR,SEWER/WASTEWATER,CAVE-IN/SINK HOLE (SEWER OR DRAINAGE RELATED)
611142,In Progress,,,FURNITURE AND DEBRIS WASNT PICKED UP THE LAST TWO FRIDAYS.,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-05-04T17:36:00Z,,FURNITURE AND DEBRIS WASNT PICKED UP THE LAST TWO FRIDAYS.,GARBAGE,REQUEST DEBRIS REMOVAL - PUBLIC PROPERTY
610858,In Progress,,,V/L OVERGROWN AND NEEDS TO BE CUT.,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-05-04T11:46:00Z,,V/L OVERGROWN AND NEEDS TO BE CUT.,BLIGHTED PROPERTIES,TALL GRASS
624501,In Progress,,,POT HOLE LOCATED ON FAIRWOOD CT AT STONE GATE DR NEED TO BE REPAIRED,BATON ROUGE,MAINTENANCE,STREET MAINTENANCE,2020-06-18T12:27:00Z,,POT HOLE LOCATED ON FAIRWOOD CT AT STONE GATE DR NEED TO BE REPAIRED,ROAD MAINTENANCE ISSUES,ROAD BUCKLE/BLOWOUT/FAULT
610634,In Progress,,,NO PERMIT ON FILE FOR THE FENCE WAS PUT UP GAVE SERVICE #,BATON ROUGE,DEVELOPMENT,PERMITS & INSPECTIONS,2020-05-04T07:41:00Z,,NO PERMIT ON FILE FOR THE FENCE WAS PUT UP GAVE SERVICE #,BUILDING CODE/ZONING VIOLATIONS,BUILDING CODE VIOLATIONS
601399,In Progress,,,"CALLER WANTS TO MAKE SURE THAT THE GUIDELINES ARE BEING MET OF 5 FT DOWN THE PROPERTY LINE, ALONG WITH THE 20 FT AWAY FROM GOVERNMENT ST FOR THE CONSTRUCTION OF THE 2 STORY BUILDING AT 2008 GOVERNMENT ST LOT 12 TO LOT 13.",BATON ROUGE,DEVELOPMENT,PERMITS & INSPECTIONS,2020-03-26T09:40:00Z,,"CALLER WANTS TO MAKE SURE THAT THE GUIDELINES ARE BEING MET OF 5 FT DOWN THE PROPERTY LINE, ALONG WITH THE 20 FT AWAY FROM GOVERNMENT ST FOR THE CONSTRUCTION OF THE 2 STORY BUILDING AT 2008 GOVERNMENT ST LOT 12 TO LOT 13.",BUILDING CODE/ZONING VIOLATIONS,BUILDING CODE VIOLATIONS
624633,In Progress,,,DITCH ON THE SIDE OF HOME IS CLOGGED UP NEED TO DUG OUT TO ALLOW DRAINAGE,BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-06-18T16:01:00Z,,DITCH ON THE SIDE OF HOME IS CLOGGED UP NEED TO DUG OUT TO ALLOW DRAINAGE,"DRAINAGE, EROSION, FLOODING OR HOLES",ROADSIDE DRAINAGE ISSUE
601353,In Progress,,,CALLER IS REQUESTING THAT ASPHALT BE LAID IN FRONT OF HIS HOME ON THE DAMAGED STREET SO THAT HE IS ABLE TO GET LIMESTONE PUT DOWN.  (PLEASE CALL BEFORE COMING OUT),BATON ROUGE,MAINTENANCE,STREET MAINTENANCE,2020-03-26T07:38:00Z,,CALLER IS REQUESTING THAT ASPHALT BE LAID IN FRONT OF HIS HOME ON THE DAMAGED STREET SO THAT HE IS ABLE TO GET LIMESTONE PUT DOWN.  (PLEASE CALL BEFORE COMING OUT),ROAD MAINTENANCE ISSUES,POTHOLE
610638,In Progress,,,M/H MISSING  AFTER JOB IS COMPLETE PLEASE CHANGE TYPE TO  BARRICADE PICK UP ........SO SOMEONE FROM OUR DIVISION CAN PROPERLY PICK UP.,BATON ROUGE,ENVIRONMENTAL SERVICES,WW OPERATIONS,2020-05-04T07:45:00Z,,M/H MISSING  AFTER JOB IS COMPLETE PLEASE CHANGE TYPE TO  BARRICADE PICK UP ........SO SOMEONE FROM OUR DIVISION CAN PROPERLY PICK UP.,SEWER/WASTEWATER,MANHOLE ISSUE
601512,In Progress,,,PROPERTY IS IN BAD SHAPE AND PEOPLE ARE GOING IN AND OUT DAILY. PLEASE INSPECT.,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-03-26T13:55:00Z,,PROPERTY IS IN BAD SHAPE AND PEOPLE ARE GOING IN AND OUT DAILY. PLEASE INSPECT.,BLIGHTED PROPERTIES,PROPERTY NEEDS TO BE CONDEMNED OR TORN DOWN
